company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Air Products,penn state university,281.0,lehigh university,207.0,university of houston,90.0,desales university,86.0,drexel university,80.0,villanova university,75.0,cornell university,65.0,texas am university,65.0,purdue university,63.0,lehigh carbon community college,59.0,muhlenberg college,58.0,university of delaware,55.0,moravian university,53.0,northampton community college,52.0,universitat de barcelona,48.0,11
Airbnb,university of california berkeley,277.0,delhi university,205.0,stanford university,180.0,ucla,155.0,university of southern california,128.0,university of washington,127.0,carnegie mellon university,127.0,new york university,114.0,harvard university,111.0,cornell university,104.0,the university of texas at austin,100.0,san francisco state university,92.0,columbia university,87.0,university of illinois urbanachampaign,86.0,georgia institute of technology,83.0,12
Archer Daniels Midland,millikin university,282.0,university of illinois urbanachampaign,271.0,fgv fundacao getulio vargas,262.0,illinois state university,187.0,anhanguera educacional,185.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,13
Akamai Technologies,agh university of krakow,252.0,northeastern university,235.0,visvesvaraya technological university,168.0,jagiellonian university,132.0,boston university,116.0,krakow university of economics,111.0,universidad latina de costa rica,98.0,pes university,86.0,universidad de costa rica ucr,78.0,kendriya vidyalaya,72.0,birla institute of technology and science pilani,70.0,tel aviv university,69.0,universidad fidelitas,67.0,tecnologico de costa rica,63.0,university of massachusetts amherst,58.0,14
Albemarle Corporation,louisiana state university,115.0,universidad catolica del norte,108.0,universidad de antofagasta,76.0,pontificia universidad catolica de chile,75.0,inacap,64.0,universidad de chile,63.0,budapest university of economics and business,51.0,southern arkansas university,51.0,texas am university,51.0,university of north carolina at charlotte,41.0,universidad tecnica federico santa maria,37.0,corvinus university of budapest,37.0,eotvos lorand university,36.0,north carolina state university,35.0,curtin university,31.0,15
Alexandria Real Estate Equities,university of southern california,23.0,california state university northridge,19.0,ucla,18.0,uc santa barbara,18.0,university of california berkeley,12.0,uc irvine,12.0,usc marshall school of business,11.0,uc san diego,11.0,california state polytechnic universitypomona,10.0,san diego state university,10.0,university of washington,9.0,california state university los angeles,8.0,university of san diego,8.0,wentworth institute of technology,7.0,san jose state university,7.0,16
Align Technology,universidad fidelitas,228.0,universidad de costa rica ucr,187.0,universidad latina de costa rica,183.0,universidad hispanoamericana cr,158.0,universidad americana cr,122.0,wrocaw university of science and technology,118.0,tecnologico de costa rica,98.0,wroclaw university of economics and business,97.0,university of wroclaw,90.0,bengurion university of the negev,88.0,universidad autonoma de ciudad juarez,85.0,north carolina state university,84.0,uniwersytet wsb merito wrocaw,83.0,tel aviv university,79.0,fgv fundacao getulio vargas,68.0,17
Allegion,purdue university,188.0,universidad autonoma de baja california,114.0,indiana university bloomington,83.0,indiana university indianapolis,75.0,indiana university kelley school of business,66.0,cetys universidad,60.0,instituto tecnologico de ensenada,50.0,ball state university,50.0,visvesvaraya technological university,48.0,alma mater studiorum universita di bologna,46.0,indiana wesleyan university,43.0,ivy tech community college,42.0,university of colorado colorado springs,34.0,university of cincinnati,32.0,university of colorado boulder,31.0,18
Alliant Energy,university of wisconsinmadison,130.0,kirkwood community college,81.0,iowa state university,77.0,madison area technical college,54.0,university of iowa,54.0,university of wisconsinplatteville,53.0,university of wisconsinwhitewater,41.0,university of northern iowa,39.0,mount mercy university,30.0,university of dubuque,30.0,university of wisconsinmilwaukee,22.0,the university of iowa tippie college of business,21.0,upper iowa university,18.0,edgewood college,16.0,northeast wisconsin technical college,16.0,19
Allstate,university of phoenix,643.0,depaul university,357.0,university of illinois urbanachampaign,324.0,savitribai phule pune university,319.0,northern illinois university,289.0,arizona state university,246.0,university of illinois chicago,222.0,illinois state university,215.0,university of north carolina at charlotte,200.0,lake forest graduate school of management,178.0,university of north texas,167.0,university of florida,147.0,penn state university,144.0,northwestern university,119.0,university of wisconsinmadison,95.0,20
Alphabet Inc. (Class A),harvard university,14.0,stanford university,13.0,massachusetts institute of technology,10.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,21
Alphabet Inc. (Class C),harvard university,14.0,stanford university,13.0,massachusetts institute of technology,10.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,22
Altria,virginia commonwealth university,226.0,virginia tech,142.0,university of virginia,90.0,penn state university,75.0,virginia commonwealth university school of business,70.0,university of missouricolumbia,69.0,university of richmond,55.0,michigan state university,55.0,university of north carolina at chapel hill,49.0,james madison university,43.0,north carolina agricultural and technical state university,43.0,university of phoenix,41.0,indiana university bloomington,41.0,university of richmond robins school of business,39.0,old dominion university,27.0,23
Amazon,university of washington,6554.0,university of mumbai,3593.0,delhi university,2604.0,birla institute of technology and science pilani,2346.0,savitribai phule pune university,2293.0,kendriya vidyalaya,1992.0,stanford university,1799.0,massachusetts institute of technology,1527.0,vellore institute of technology,1462.0,harvard university,1385.0,the wharton school,918.0,the institute of chartered accountants of india,884.0,indian school of business,855.0,harvard business school,827.0,insead,778.0,24
Amcor,university of wisconsinoshkosh,257.0,fox valley technical college,131.0,lodz university of technology,129.0,fgv fundacao getulio vargas,116.0,university of lodz,111.0,university of wisconsinmadison,97.0,unopar universidade norte do parana,93.0,michigan state university,89.0,universidade paulista,66.0,anhanguera educacional,60.0,senai sao paulo,58.0,university of buenos aires,58.0,uel universidade estadual de londrina,56.0,unicesumar,53.0,university of wisconsinplatteville,50.0,25
Ameren,southern illinois university edwardsville,374.0,missouri university of science and technology,317.0,university of missouricolumbia,291.0,university of missourisaint louis,241.0,webster university,221.0,southern illinois university carbondale,150.0,saint louis university,149.0,university of illinois urbanachampaign,140.0,washington university in st louis,120.0,lindenwood university,118.0,st louis community college,112.0,maryville university of saint louis,95.0,southwestern illinois college,89.0,missouri state university,86.0,southeast missouri state university,70.0,26
Arista Networks,san jose state university,120.0,the university of british columbia,89.0,university of california berkeley,67.0,trinity college dublin,57.0,ucla,56.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,27
American Electric Power,the ohio state university,647.0,ohio university,340.0,franklin university,256.0,oklahoma state university,227.0,columbus state community college,195.0,the ohio state university fisher college of business,148.0,tulsa community college,95.0,purdue university,95.0,devry university,92.0,miami university,91.0,west virginia university,88.0,bowling green state university,70.0,university of phoenix,67.0,capital university,66.0,zane state college,66.0,28
American Express,delhi university,2309.0,arizona state university,1142.0,indira gandhi national open university,503.0,guru gobind singh indraprastha university,487.0,the institute of chartered accountants of india,384.0,kendriya vidyalaya,379.0,new york university,368.0,harvard business school,313.0,svkms narsee monjee institute of management studies nmims,303.0,nyu stern school of business,271.0,delhi school of economics,221.0,indian institute of management indore,212.0,indian institute of technology kharagpur,208.0,birla institute of technology and science pilani,199.0,indian institute of technology kanpur,173.0,29
American International Group,baruch college,125.0,new york university,118.0,rutgers university,95.0,columbia university,73.0,university of phoenix,73.0,the university of texas at austin,67.0,chartered insurance institute,66.0,penn state university,64.0,nyu stern school of business,60.0,texas am university,59.0,delhi university,58.0,cornell university,50.0,university college dublin,49.0,jawaharlal nehru technological university,48.0,the london school of economics and political science lse,47.0,30
American Tower,north carolina state university,65.0,makerere university,60.0,university of massachusetts lowell,51.0,northeastern university,50.0,instituto politecnico nacional,48.0,university of massachusetts amherst,46.0,kwame nkrumah university of science and technology kumasi,41.0,insead,41.0,suffolk university law school,36.0,southern new hampshire university,36.0,boston university,35.0,bentley university,35.0,universidad nacional autonoma de mexico,32.0,universidad tecnologica de mexico,32.0,university of lagos,30.0,31
American Water Works,penn state university,55.0,rowan university,50.0,rutgers university,38.0,drexel university,38.0,rutgers university camden,37.0,southern illinois university edwardsville,36.0,university of phoenix,36.0,temple university,31.0,villanova university,27.0,camden county college,27.0,purdue university,19.0,columbia southern university,18.0,stockton university,17.0,university of delaware,17.0,university of kentucky,15.0,32
Ameriprise Financial,university of minnesota,524.0,college for financial planning,344.0,delhi university,307.0,university of st thomas,272.0,university of minnesota carlson school of management,210.0,st cloud state university,171.0,minnesota state university mankato,157.0,guru gobind singh indraprastha university,132.0,university of wisconsinmadison,128.0,university of minnesota duluth,127.0,the american college of financial services,111.0,university of wisconsineau claire,85.0,penn state university,84.0,indira gandhi national open university,76.0,university of north dakota,74.0,33
Ametek,penn state university,44.0,universidad tecmilenio,34.0,universidad autonoma de tamaulipas,28.0,villanova university,25.0,university of novi sad faculty of economics in subotica,23.0,the university of akron,18.0,iies,17.0,northeastern university,16.0,visvesvaraya technological university,16.0,university of connecticut,14.0,kent state university,13.0,universidad tecnologica de tamaulipas norte,13.0,drexel university,12.0,temple university,10.0,oklahoma state university,10.0,34
Amgen,ucla,524.0,california state university northridge,400.0,university of southern california,356.0,university of puerto ricomayaguez,332.0,california lutheran university,300.0,technological university dublin,290.0,uc santa barbara,247.0,university of california berkeley,246.0,university college dublin,223.0,uc san diego,219.0,university of california davis,195.0,uc irvine,188.0,northeastern university,171.0,university of illinois urbanachampaign,140.0,rutgers university,130.0,35
Amphenol,universidad autonoma de baja california,24.0,nttf nettur technical training foundation,19.0,penn state university,18.0,tecnologico de monterrey,15.0,university of massachusetts lowell,14.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,36
Analog Devices,university of limerick,474.0,technological university of the philippines,458.0,mapua university,270.0,university of massachusetts lowell,243.0,northeastern university,225.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,37
Ansys,university of pittsburgh,103.0,penn state university,96.0,indian institute of technology bombay,69.0,savitribai phule pune university,63.0,c,63.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,38
Aon,delhi university,472.0,university of illinois urbanachampaign,302.0,chartered insurance institute,202.0,institute and faculty of actuaries,152.0,the london school of economics and political science lse,149.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,39
APA Corporation,university of memphis,1.0,saint louis university,1.0,penn state university,1.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,40
Apollo Global Management,the institute of chartered accountants of india,155.0,university of mumbai,97.0,the london school of economics and political science lse,83.0,the wharton school,80.0,nyu stern school of business,59.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,41
Apple Inc.,stanford university,2407.0,university of california berkeley,2133.0,san jose state university,1983.0,university of southern california,1631.0,the university of texas at austin,1551.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,42
Applied Materials,san jose state university,633.0,bengurion university of the negev,481.0,university of california berkeley,392.0,tel aviv university,376.0,the university of texas at austin,376.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,43
Aptiv,agh university of krakow,1287.0,universidad autonoma de ciudad juarez,318.0,krakow university of economics,308.0,politechnika krakowska im tadeusza kosciuszki,253.0,tecnologico de monterrey,228.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,44
Arch Capital Group,university of north carolina at greensboro,70.0,illinois state university,38.0,rutgers university,33.0,penn state university,31.0,north carolina state university,29.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,45
Arthur J. Gallagher & Co.,savitribai phule pune university,545.0,bangalore university,367.0,university of illinois urbanachampaign,188.0,northern illinois university,177.0,anziif,177.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,46
Assurant,florida international university,289.0,university of buenos aires,222.0,miami dade college,202.0,university of phoenix,138.0,georgia state university,86.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,47
AT&T,university of phoenix,2032.0,udacity,1020.0,georgia institute of technology,853.0,georgia state university,565.0,western governors university,519.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,48
Atmos Energy,texas tech university,69.0,the university of texas at arlington,60.0,texas am university,59.0,university of north texas,59.0,amarillo college,50.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,49
Autodesk,university of california berkeley,177.0,concordia university,163.0,san francisco state university,112.0,university of waterloo,108.0,national university of singapore,105.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,50
Automatic Data Processing,university of phoenix,611.0,osmania university,571.0,savitribai phule pune university,459.0,university of central florida,398.0,arizona state university,380.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,51
AutoZone,university of memphis,343.0,universidad autonoma de nuevo leon,185.0,university of phoenix,129.0,tecnologico de monterrey,115.0,universidad autonoma de chihuahua,86.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,52
AvalonBay Communities,virginia tech,28.0,george mason university,21.0,tidewater community college,18.0,university of virginia,17.0,university of massachusetts amherst,17.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,53
Avery Dennison,cleveland state university,104.0,lakeland community college,100.0,kent state university,81.0,the university of akron,66.0,the ohio state university,58.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,54
Axon Enterprise,arizona state university,164.0,university of washington,72.0,ho chi minh city university of technology,54.0,vnuhcm university of science,52.0,university of arizona,52.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,55
Baker Hughes,universita degli studi di firenze,1014.0,universita di pisa,609.0,university of houston,449.0,texas am university,419.0,estacio,370.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,56
Ball Corporation,fgv fundacao getulio vargas,113.0,universidade paulista,110.0,anhanguera educacional,104.0,centro universitario internacional uninter,89.0,senai sao paulo,68.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,57
Bank of America,university of north carolina at charlotte,2032.0,delhi university,1047.0,university of mumbai,1036.0,university of north carolina at chapel hill,814.0,new york university,802.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,58
Baxter International,university of illinois urbanachampaign,194.0,purdue university,149.0,university of illinois chicago,134.0,tecnologico de monterrey,116.0,northern illinois university,115.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,59
Becton Dickinson,arizona state university,242.0,san diego state university,239.0,uc san diego,228.0,university of phoenix,220.0,university of utah,184.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,60
Berkshire Hathaway,university of nebraska at omaha,21.0,ucla,17.0,harvard university,16.0,university of phoenix,14.0,arizona state university,13.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,61
Best Buy,university of minnesota,659.0,strayer university,308.0,university of st thomas,303.0,university of phoenix,256.0,university of minnesota carlson school of management,246.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,62
Bio-Techne,university of minnesota,169.0,st cloud state university,33.0,san jose state university,33.0,university of wisconsinmadison,30.0,university of minnesota duluth,24.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,63
Biogen,north carolina state university,249.0,northeastern university,155.0,university of north carolina at chapel hill,105.0,boston university,93.0,university of massachusetts amherst,74.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,64
BlackRock,the london school of economics and political science lse,363.0,delhi university,316.0,columbia university,275.0,new york university,248.0,university of mumbai,233.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,65
Blackstone Inc.,the wharton school,190.0,cornell university,163.0,the london school of economics and political science lse,158.0,harvard university,128.0,new york university,120.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,66
BNY Mellon,savitribai phule pune university,1496.0,wroclaw university of economics and business,814.0,university of pittsburgh,636.0,university of madras,508.0,university of central florida,464.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,67
Boeing,university of washington,5138.0,embryriddle aeronautical university,2856.0,university of phoenix,1855.0,university of southern california,1537.0,washington state university,1495.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,68
Booking Holdings,university of amsterdam,302.0,vrije universiteit amsterdam vu amsterdam,190.0,delft university of technology,122.0,the university of manchester,99.0,utrecht university,99.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,69
BorgWarner,politechnika rzeszowska im ignacego ukasiewicza,256.0,purdue university,207.0,oakland university,167.0,universidade do minho,157.0,universidade de vigo,155.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,70
Boston Scientific,university of minnesota,1541.0,university of galway,712.0,universidad de costa rica ucr,614.0,tecnologico de costa rica,582.0,university of limerick,459.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,71
Bristol Myers Squibb,rutgers university,1354.0,penn state university,369.0,university of washington,344.0,new jersey institute of technology,309.0,rutgers business school,280.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,72
Broadcom,san jose state university,604.0,visvesvaraya technological university,534.0,birla institute of technology and science pilani,522.0,savitribai phule pune university,442.0,jawaharlal nehru technological university,368.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,73
Broadridge Financial Solutions,osmania university,255.0,jawaharlal nehru technological university,177.0,stony brook university,145.0,babesbolyai university,112.0,suffolk county community college,102.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,74
Brown & Brown,florida state university,157.0,university of central florida,130.0,daytona state college,93.0,university of florida,90.0,university of south florida,56.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,75
Brown–Forman,university of louisville,211.0,university of kentucky,115.0,bellarmine university,88.0,universidad de guadalajara,84.0,indiana university southeast,48.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,76
Builders FirstSource,university of phoenix,61.0,texas am university,36.0,north carolina state university,33.0,university of north texas,29.0,east carolina university,25.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,77
Bunge Global,fgv fundacao getulio vargas,315.0,anhanguera educacional,227.0,unicesumar,205.0,uniasselvi,183.0,unopar universidade norte do parana,180.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,78
"BXP, Inc.",rwth aachen university,13.0,northeastern university,10.0,wentworth institute of technology,8.0,boston university,7.0,university of massachusetts amherst,6.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,79
C.H. Robinson,university of minnesota,224.0,universidad autonoma de nuevo leon,183.0,tecnologico de monterrey,152.0,minnesota state university mankato,110.0,michigan state university,109.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,80
Cadence Design Systems,birla institute of technology and science pilani,203.0,universidade federal de minas gerais,135.0,san jose state university,133.0,indian institute of technology delhi,106.0,national chiao tung university,106.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,81
Caesars Entertainment,university of nevadalas vegas,669.0,college of southern nevada,305.0,university of nevada reno,196.0,university of phoenix,144.0,stockton university,134.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,82
Camden Property Trust,university of houston,48.0,texas am university,31.0,houston community college,17.0,university of houstondowntown,16.0,virginia tech,14.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,83
Campbell Soup Company,penn state university,194.0,university of phoenix,92.0,saint josephs university,87.0,drexel university,87.0,rutgers university,82.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,84
Capital One,virginia commonwealth university,1418.0,university of virginia,1306.0,virginia tech,1119.0,university of maryland,985.0,georgia institute of technology,803.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,85
Cardinal Health,the ohio state university,865.0,ohio university,332.0,the ohio state university fisher college of business,302.0,franklin university,271.0,university of phoenix,217.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,86
CarMax,virginia commonwealth university,266.0,university of phoenix,126.0,virginia tech,114.0,university of virginia,114.0,james madison university,98.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,87
Carnival,florida international university,269.0,miami dade college,176.0,florida international university college of business,60.0,nova southeastern university,58.0,university of florida,54.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,88
Carrier Global,universidad autonoma de nuevo leon,394.0,purdue university,156.0,tecnologico de monterrey,144.0,universidad tecmilenio,120.0,universidad de monterrey,89.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,89
Caterpillar Inc.,bradley university,1743.0,illinois central college,1150.0,university of illinois urbanachampaign,1074.0,illinois state university,952.0,purdue university,779.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,90
Cboe Global Markets,the university of kansas,50.0,depaul university,45.0,university of illinois urbanachampaign,44.0,university of chicago,23.0,illinois institute of technology,23.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,91
CBRE Group,university of reading,269.0,university of southern california,243.0,arizona state university,238.0,the university of texas at austin,218.0,university college of estate management,194.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,92
CDW,illinois state university,281.0,university of illinois urbanachampaign,279.0,depaul university,253.0,northern illinois university,253.0,college of lake county,176.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,93
Celanese,texas am university,70.0,eotvos lorand university,63.0,budapest university of economics and business,55.0,corvinus university of budapest,50.0,alma mater studiorum universita di bologna,42.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,94
Cencora,penn state university,194.0,university of phoenix,182.0,vilniaus universitetas vilnius university,134.0,anadolu university,125.0,university of north texas,108.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,95
Centene Corporation,university of phoenix,721.0,university of south florida,628.0,western governors university,386.0,webster university,372.0,university of missourisaint louis,342.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,96
CenterPoint Energy,university of houston,373.0,texas am university,165.0,university of southern indiana,156.0,university of houstondowntown,121.0,houston community college,113.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,97
CF Industries,louisiana state university,78.0,northern illinois university,30.0,mississippi state university,29.0,nicholls state university,28.0,university of illinois urbanachampaign,27.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,98
Charles River Laboratories,western michigan university,230.0,university of nevada reno,208.0,michigan state university,204.0,universite de montreal,175.0,universite claude bernard lyon 1,138.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,99
Charles Schwab Corporation,arizona state university,717.0,university of north texas,535.0,the university of texas at austin,479.0,colorado state university,420.0,the university of texas at arlington,402.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,100
